"tract","Name","Incarceration_Rate_rP_gP_p50"
11001009000,"Fort Lincoln, Washington, DC",0.0138
51059450200,"Falls Church, VA",0.0138
51059450100,"Falls Church, VA",0.0135
24033804700,"Mount Rainier, MD",0.0135
51059471301,"Falls Church, VA",0.0135
24033807000,"College Park, MD",0.0134
11001002600,"Northwest Washington, Washington, DC",0.0132
24033803516,"Bowie, MD",0.0131
24033806602,"Riverdale, East Riverdale, MD",0.0127
51013102701,"Douglas Park, Arlington, VA",0.0127
51013101000,"Arlington, VA",0.0127
51059420600,"Groveton, Alexandria, VA",0.0127
11001002802,"Columbia Heights, Washington, DC",0.0126
24033802104,"District Heights, MD",0.0125
11001001804,"Brightwood, Washington, DC",0.0125
24033803605,"New Carrollton, MD",0.0124
24033803523,"Bowie, MD",0.0124
24033803525,"Hyattsville, MD",0.0124
11001003800,"Northwest Washington, Washington, DC",0.0123
51013100700,"Arlington, VA",0.0122
24033806710,"Greenbelt, MD",0.0122
51013101900,"Ashton Heights, Arlington, VA",0.0121
51510200801,"Taylor Run, Alexandria, VA",0.0121
11001005201,"Downtown, Washington, DC",0.012
24033805202,"Takoma Park, MD",0.0117
11001010200,"Southwest Washington, Washington, DC",0.0117
11001000702,"Northwest Washington, Washington, DC",0.0117
11001009302,"Brookland, Washington, DC",0.0117
11001002001,"16th Street Heights, Washington, DC",0.0116
51059420700,"Alexandria, VA",0.0116
51059452101,"Annandale, VA",0.0115
24031702301,"Silver Spring, MD",0.0115
51510202001,"Old Town, Alexandria, VA",0.0114
51013102002,"Ashton Heights, Arlington, VA",0.0114
24033804400,"Brentwood, MD",0.0114
51013101200,"Dominion Hills, Arlington, VA",0.0111
24031701703,"Takoma Park, MD",0.0111
11001010700,"Downtown, Washington, DC",0.011
24031705000,"Bethesda, MD",0.011
24031702402,"Silver Spring, MD",0.0109
51510200303,"Landmark, Alexandria, VA",0.0109
24033800413,"Lanham, MD",0.0108
51059452502,"Lincolnia, VA",0.0107
24033803513,"Largo, MD",0.0106
51510200202,"Seminary Hill, Alexandria, VA",0.0106
24033806501,"Riverdale, Riverdale Park, MD",0.0106
24033805000,"Hyattsville, MD",0.0105
24033803520,"Bowie, MD",0.0103
11001001600,"Northwest Washington, Washington, DC",0.0102
24031702000,"New Hampshire Estates, Silver Spring, MD",0.0102
51013100200,"Yorktown, Arlington, VA",0.0101
24033802406,"Suitland, Suitland-Silver Hill, MD",0.0099
24031702601,"Downtown Silver Spring, Silver Spring, MD",0.0099
51510200201,"Seminary Hill, Alexandria, VA",0.0098
51059450602,"Falls Church, VA",0.0098
51510201100,"North Ridge, Alexandria, VA",0.0098
51059420300,"Alexandria, VA",0.0098
51059420202,"Alexandria, VA",0.0098
24031705601,"Bethesda, MD",0.0096
51510200600,"Seminary Hill, Alexandria, VA",0.0094
51013103401,"Fort Myer, Arlington, VA",0.0093
51510200102,"Alexandria West, Alexandria, VA",0.0093
51013101801,"Court House, Arlington, VA",0.0093
51610500200,"Falls Church, VA",0.0091
51013102600,"Douglas Park, Arlington, VA",0.009
51059450400,"Falls Church, VA",0.009
24031701800,"Takoma Park, MD",0.009
51059420201,"Alexandria, VA",0.009
51013101603,"North Rosslyn, Arlington, VA",0.009
51013103300,"Arlington Views, Arlington, VA",0.009
24033804200,"Cheverly, MD",0.0089
51059450500,"Falls Church, VA",0.0089
24033806601,"Prince Georges County, MD",0.0088
51510201400,"Potomac West, Alexandria, VA",0.0087
51059471304,"Falls Church, VA",0.0086
51510200106,"Alexandria West, Alexandria, VA",0.0082
51059451601,"Bailey's Crossroads, VA",0.0082
51059471100,"Falls Church, VA",0.0081
11001004300,"Northwest Washington, Washington, DC",0.0081
51510200407,"Landmark, Alexandria, VA",0.0081
51013100500,"Donaldson Run, Arlington, VA",0.008
11001007403,"Shipley, Washington, DC",0.0079
51013101403,"Virginia Square, Arlington, VA",0.0078
24033805700,"Hyattsville, MD",0.0078
51059452200,"Annandale, VA",0.0076
51059451900,"Alexandria, VA",0.0075
51013102702,"Douglas Park, Arlington, VA",0.0075
11001007301,"Southwest Washington, Washington, DC",0.0074
24033804002,"Bladensburg, MD",0.0074
24031702602,"Silver Spring, MD",0.0073
24033806400,"University Park, MD",0.007
24031705602,"Chevy Chase, MD",0.0069
11001000701,"Cathedral Heights, Washington, DC",0.0069
51059480100,"Great Falls, VA",0.0069
51059451000,"Annandale, VA",0.0067
51059450300,"Falls Church, VA",0.0066
51013102003,"Buckingham, Arlington, VA",0.0066
11001003700,"Northwest Washington, Washington, DC",0.0066
11001000802,"Northwest Washington, Washington, DC",0.0065
11001002002,"16th Street Heights, Washington, DC",0.0064
51059451300,"Falls Church, VA",0.0064
51059452600,"Alexandria, VA",0.0064
11001000100,"Georgetown, Washington, DC",0.0062
51013102100,"Glencarlyn, Arlington, VA",0.0061
51510200500,"Seminary Hill, Alexandria, VA",0.006
11001002702,"Mount Pleasant, Washington, DC",0.0059
11001000502,"Northwest Washington, Washington, DC",0.0058
51510200802,"Taylor Run, Alexandria, VA",0.0057
11001000901,"Northwest Washington, Washington, DC",0.0056
24033806100,"Hyattsville, MD",0.0055
24033803606,"Lanham, MD",0.0055
11001001100,"Northwest Washington, Washington, DC",0.0053
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",0.0053
11001007504,"Historic Anacostia, Washington, DC",0.0052
51059430600,"Springfield, VA",0.0051
24033805802,"Hyattsville, MD",0.005
11001010100,"Downtown, Washington, DC",0.0049
24033803610,"New Carrollton, MD",0.0049
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",0.0049
24033806712,"Greenbelt, MD",0.0048
51510200107,"Alexandria West, Alexandria, VA",0.0048
51510202002,"Old Town, Alexandria, VA",0.0047
51059452700,"Falls Church, VA",0.0047
11001008410,"Northeast Washington, Washington, DC",0.0046
24031704600,"Bethesda, MD",0.0046
51059450800,"Annandale, VA",0.0046
24033805601,"Hyattsville, MD",0.0046
11001001401,"Northwest Washington, Washington, DC",0.0045
51013100900,"Tara - Leeway Heights, Arlington, VA",0.0045
51059452102,"Annandale, VA",0.0044
11001000300,"Northwest Washington, Washington, DC",0.0044
51013101500,"Lyon Village, Arlington, VA",0.0044
51059470700,"McLean, VA",0.0042
24031706009,"Potomac, MD",0.0042
51059450601,"Falls Church, VA",0.0041
51510201300,"Del Ray, Alexandria, VA",0.004
24031705903,"Bethesda, MD",0.004
51059430700,"Springfield, VA",0.0039
51013103601,"Aurora Highlands, Arlington, VA",0.0037
51059450701,"Annandale, VA",0.0037
24031702401,"Silver Spring, MD",0.0036
51059451602,"Falls Church, VA",0.0035
51059471303,"Falls Church, VA",0.0035
11001005800,"Northwest Washington, Washington, DC",0.0035
11001002801,"Columbia Heights, Washington, DC",0.0034
51059471402,"Falls Church, VA",0.0034
11001005500,"Northwest Washington, Washington, DC",0.0033
51059452501,"Alexandria, VA",0.0033
11001004100,"Northwest Washington, Washington, DC",0.0032
24033803521,"Bowie, MD",0.0032
24033806800,"Berwyn Heights, MD",0.0031
24031705400,"Chevy Chase, MD",0.003
24031705901,"Bethesda, MD",0.003
51059430500,"Springfield, VA",0.0029
51059450702,"Annandale, VA",0.0029
51059470500,"McLean, VA",0.0028
11001001002,"Cathedral Heights, Washington, DC",0.0027
51013102302,"Barcroft, Arlington, VA",0.0026
51013101300,"Bluemont, Arlington, VA",0.0025
51059451502,"Bailey's Crossroads, VA",0.0025
24031701702,"Takoma Park, MD",0.0024
11001002701,"Northwest Washington, Washington, DC",0.0024
51059470400,"McLean, VA",0.0022
11001000600,"Northwest Washington, Washington, DC",0.0022
51013101100,"East Falls Church, Arlington, VA",0.0021
51610500100,"Falls Church, VA",0.0019
51059452400,"Springfield, VA",0.0018
24031702700,"Silver Spring, MD",0.0018
51059470100,"McLean, VA",0.0017
24031705800,"Glen Echo, MD",0.0017
51059471401,"Falls Church, VA",0.0015
51059451800,"Lincolnia, VA",0.0015
11001005301,"Northwest Washington, Washington, DC",0.0015
24031705100,"Chevy Chase, MD",0.0014
51013100600,"Cherrydale, Arlington, VA",0.0013
11001008301,"Northeast Washington, Washington, DC",0.0012
11001000801,"Northwest Washington, Washington, DC",0.0012
11001001001,"American University Park, Washington, DC",0.0012
24031706008,"Potomac, MD",0.001
51013103402,"Crystal City, Arlington, VA",0.0008
51059480201,"McLean, VA",0.0006
51059420100,"Springfield, VA",0.0006
51610500300,"Falls Church, VA",0.0006
24033806300,"Hyattsville, MD",0.0006
24033806706,"Greenbelt, MD",0.0005
51510200900,"North Ridge, Alexandria, VA",0.0002
51059450900,"Falls Church, VA",0.0001
11001003900,"Lanier Heights, Washington, DC",0.0001
11001010800,"Northwest Washington, Washington, DC",0
51510200703,"Southwest Quadrant, Alexandria, VA",0
51059470300,"McLean, VA",0
51510201500,"Potomac West, Alexandria, VA",0
24031705501,"Chevy Chase, MD",0
11001001200,"Northwest Washington, Washington, DC",0
51013102802,"Claremont, Arlington, VA",0
11001007000,"Southeast Washington, Washington, DC",0
51013100400,"Arlington, VA",0
51013102301,"Alcova Heights, Arlington, VA",0
51059471201,"Tysons, VA",0
51059452802,"Bailey's Crossroads, VA",0
51013102001,"Buckingham, Arlington, VA",0
11001004902,"Downtown, Washington, DC",0
11001000202,"Georgetown, Washington, DC",0
24031706013,"Bethesda, MD",0
51059470900,"Falls Church, VA",0
24033807102,"Riverdale, Riverdale Park, MD",0
24033805908,"Chillum, MD",0
51059451200,"Falls Church, VA",0
51059471202,"McLean, VA",0
51013101401,"Bluemont, Arlington, VA",0
51059452000,"Annandale, VA",0
51510200404,"Landmark, Alexandria, VA",0
24031705300,"Chevy Chase, MD",0
24031705701,"Bethesda, MD",0
11001001500,"Northwest Washington, Washington, DC",0
11001004702,"Northwest Washington, Washington, DC",0
24031704806,"Bethesda, MD",0
11001004001,"Adams Morgan, Washington, DC",0
51510200702,"Eisenhower East, Alexandria, VA",0
51059471000,"Falls Church, VA",0
51510200403,"Landmark, Alexandria, VA",0
24031704700,"Bethesda, MD",0
24031702500,"Downtown Silver Spring, Silver Spring, MD",0
11001004002,"Adams Morgan, Washington, DC",0
24033805904,"Hyattsville, MD",0
51013101802,"Court House, Arlington, VA",0
24033805801,"Adelphi, MD",0
51013103700,"Arlington Ridge, Arlington, VA",0
51059470800,"McLean, VA",0
51013100300,"Old Glebe, Arlington, VA",0
51059420203,"Alexandria, VA",0
51013103502,"Aurora Highlands, Arlington, VA",0
51510201000,"North Ridge, Alexandria, VA",0
11001008200,"Northeast Washington, Washington, DC",0
24031705200,"Chevy Chase, MD",0
51013102400,"Arlington Heights, Arlington, VA",0
24031705502,"Chevy Chase, MD",0
24031705902,"Bannockburn, Bethesda, MD",0
51059451501,"Falls Church, VA",0
11001006202,"Northwest Washington, Washington, DC",
11001006804,"Southeast Washington, Washington, DC",
11001000201,"Georgetown, Washington, DC",
